timestamp,open,high,low,close,volume
2023-01-01 09:30:00,100.00,101.50,99.50,101.00,1000000
2023-01-01 09:31:00,101.00,102.00,100.75,101.75,950000
2023-01-01 09:32:00,101.75,102.50,101.25,102.25,1100000
2023-01-01 09:33:00,102.25,103.00,101.75,102.50,1050000
2023-01-01 09:34:00,102.50,103.25,102.00,103.00,1200000
2023-01-01 09:35:00,103.00,103.75,102.50,103.50,1150000
2023-01-01 09:36:00,103.50,104.00,103.00,103.75,1300000
2023-01-01 09:37:00,103.75,104.25,103.25,104.00,1250000
2023-01-01 09:38:00,104.00,104.50,103.50,104.25,1400000
2023-01-01 09:39:00,104.25,104.75,103.75,104.50,1350000
2023-01-01 09:40:00,104.50,105.00,104.00,104.75,1500000
2023-01-01 09:41:00,104.75,105.25,104.25,105.00,1450000
2023-01-01 09:42:00,105.00,105.50,104.50,105.25,1600000
2023-01-01 09:43:00,105.25,105.75,104.75,105.50,1550000
2023-01-01 09:44:00,105.50,106.00,105.00,105.75,1700000
2023-01-01 09:45:00,105.75,106.25,105.25,106.00,1650000
2023-01-01 09:46:00,106.00,106.50,105.50,106.25,1800000
2023-01-01 09:47:00,106.25,106.75,105.75,106.50,1750000
2023-01-01 09:48:00,106.50,107.00,106.00,106.75,1900000
2023-01-01 09:49:00,106.75,107.25,106.25,107.00,1850000
2023-01-01 09:50:00,107.00,107.50,106.50,107.25,2000000
